Indivíduo,cereais,leites,frutas,cereais,leguminosas,verduras,carnes,ovos,bebidas,verduras,pescados,leites,verduras,gorduras,frutas,Concentração,Custo,Energia Total
188,"Pastel, massa, frita","Queijo, petit suisse, morango","Fruta-pão, crua","Biscoito, doce, wafer, recheado de morango","Feijão, roxo, cru","Manjericão, cru","Carne, bovina, fraldinha, com gordura, crua","Ovo, de galinha, inteiro, frito","Bebida isotônica, sabores variados","Farinha, de mandioca, torrada","Dourada de água doce, fresca",Creme de Leite,"Abobrinha, italiana, crua","Óleo, de girassol","Maracujá, cru",-2.9333333333333336,78.155,3651.574
189,"Macarrão, instantâneo","Bebida láctea, pêssego","Pequi, cru","Pastel, de carne, frito","Feijão, rajado, cozido","Manjericão, cru","Frango, fígado, cru","Ovo, de galinha, inteiro, cozido/10minutos","Bebida isotônica, sabores variados","Feijão, broto, cru","Abadejo, filé, congelado, grelhado","Queijo, requeijão, cremoso","Nhoque, batata, cozido","Óleo, de pequi","Banana, maçã, crua",-1.0452380952380953,92.59800000000001,2423.06
190,"Pamonha, barra para cozimento, pré-cozida","Bebida láctea, pêssego","Ameixa, calda, enlatada","Biscoito, doce, maisena","Feijão, preto, cru","Alho-poró, cru","Frango, coxa, sem pele, crua","Omelete, de queijo","Laranja, lima, suco","Mandioca, frita","Salmão, sem pele, fresco, grelhado","Leite, de vaca, integral, pó","Mandioca, farofa, temperada","Óleo, de soja","Uva, Rubi, crua",-2.6666666666666665,57.233000000000004,2479.8659999999995
191,"Lasanha, massa fresca, crua","Iogurte, sabor pêssego","Laranja, lima, crua","Bolo, mistura para","Feijão, carioca, cru","Espinafre, Nova Zelândia, refogado","Carne, bovina, patinho, sem gordura, cru","Ovo, de galinha, inteiro, cozido/10minutos","Café, infusão 10%","Mandioca, frita","Salmão, sem pele, fresco, grelhado","Queijo, requeijão, cremoso","Tomate, purê","Margarina, com óleo interesterificado, sem sal (65% de lipídeos)","Caqui, chocolate, cru",-2.466666666666667,28.468,2438.9770000000003
192,"Lasanha, massa fresca, crua","Iogurte, sabor pêssego","Tucumã, cru","Pastel, de carne, frito","Pé-de-moleque, amendoim","Quiabo, cru","Carne, bovina, paleta, com gordura, crua","Omelete, de queijo","Cana, aguardente 1","Couve-flor, crua","Lambari, congelado, cru","Leite, de vaca, desnatado, pó","Batata, baroa, cozida","Óleo, de milho","Mexerica, Murcote, crua",-2.4,38.687000000000005,3077.741
193,"Creme de arroz, pó","Queijo, minas, meia cura","Goiaba, doce em pasta","Pastel, de queijo, cru","Feijão, preto, cru","Jurubeba, crua","Carne, bovina, lagarto, cru","Ovo, de galinha, inteiro, cozido/10minutos","Café, infusão 10%","Mandioca, frita","Bacalhau, salgado, refogado","Queijo, minas, frescal","Chuchu, cozido","Óleo, de pequi","Atemóia, crua",-2.466666666666667,95.52399999999997,3664.2290000000003
194,"Pastel, de carne, cru","Iogurte, sabor morango","Goiaba, doce em pasta","Polenta, pré-cozida","Feijão, preto, cru","Pimentão, amarelo, cru","Hambúrguer, bovino, cru","Omelete, de queijo","Refrigerante, tipo cola","Salsa, crua","Cação, posta, com farinha de trigo, frita","Queijo, minas, frescal","Nhoque, batata, cozido","Manteiga, sem sal","Figo, enlatado, em calda",-0.5976190476190477,121.97900000000001,3780.1839999999997
195,"Cereal matinal, milho","Iogurte, natural","Pequi, cru","Arroz, tipo 1, cozido","Feijão, fradinho, cozido","Cebola, crua","Carne, bovina, picanha, sem gordura, grelhada","Ovo, de galinha, gema, cozida/10minutos","Refrigerante, tipo água tônica","Pepino, cru","Cação, posta, com farinha de trigo, frita","Queijo, minas, frescal","Caruru, cru","Azeite, de dendê","Abacaxi, polpa, congelada",-1.407142857142857,100.419,4516.336
196,"Cereais, mingau, milho, infantil","Leite, de vaca, desnatado, UHT","Pêra, Park, crua","Mingau tradicional, pó","Grão-de-bico, cru","Alho, cru","Carne, bovina, peito, sem gordura, cozido","Omelete, de queijo","Cana, caldo de","Pimentão, amarelo, cru","Corimbatá, assado","Queijo, minas, frescal","Abóbora, cabotian, crua","Óleo, de girassol","Fruta-pão, crua",-2.216666666666667,36.949,3606.3450000000007
197,"Bolo, pronto, aipim","Queijo, minas, frescal","Ameixa, em calda, enlatada, drenada","Pastel, de carne, frito","Amendoim, torrado, salgado","Taioba, crua","Frango, coxa, sem pele, crua","Omelete, de queijo","Refrigerante, tipo cola","Abobrinha, italiana, cozida","Pescada, filé, com farinha de trigo, frito","Queijo, mozarela","Maxixe, cru","Óleo, de canola","Uva, Rubi, crua",-2.5142857142857142,81.664,2450.42
198,"Bolo, pronto, milho","Iogurte, natural","Caju, polpa, congelada","Pastel, massa, crua","Tremoço, em conserva","Repolho, roxo, refogado","Carne, bovina, paleta, sem gordura, cozida","Ovo, de galinha, clara, cozida/10minutos","Cerveja, pilsen 2","Nhoque, batata, cozido","Pintado, grelhado","Queijo, prato","Manjericão, cru","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Pêra, Williams, crua",-0.4666666666666668,200.365,4574.114
199,"Bolo, pronto, aipim","Bebida láctea, pêssego","Tamarindo, cru","Biscoito, doce, wafer, recheado de chocolate","Ervilha, enlatada, drenada","Manjericão, cru","Carne, bovina, bucho, cru","Omelete, de queijo","Limão, galego, suco","Mandioca, frita","Pescada, filé, molho escabeche","Queijo, parmesão","Couve, manteiga, crua","Manteiga, sem sal","Pêssego, enlatado, em calda",-2.352380952380952,37.37800000000001,4108.071
